"code_pluviometre","date_observation","distance","precipitation"
"09290400",2022-01-10,101162.18755259339,58.5
"09301001",2022-01-10,79748.82705109587,56.3
"09328001",2022-01-10,95986.73644787655,30.1
"31011001",2022-01-11,88230.05793734276,0.2
"31035001",2022-01-11,13506.466191476335,0.0
"31042012",2022-01-11,127415.575235681,0.0
"31042400",2022-01-11,131726.36499692578,0.0
"31069001",2022-01-11,3989.958472208172,0.0
"31070004",2022-01-11,94082.76170034448,0.0
"31085400",2022-01-11,105612.62249788013,0.0
"31147001",2022-01-11,104677.61912633706,0.0
"31157001",2022-01-11,8889.910174703222,0.0
"31271001",2022-01-11,26294.705652534667,0.0
"31299001",2022-01-11,24283.571611676947,0.0
"31374001",2022-01-11,32784.54095664272,0.2
"31403002",2022-01-11,21348.878695501193,0.2
"31404001",2022-01-11,135698.07250657384,0.0
"31406002",2022-01-11,60826.72040692892,0.2
"31451001",2022-01-11,70026.49359357842,0.0
"31454001",2022-01-11,39725.34164614296,0.2
"31478001",2022-01-11,55317.46889621733,0.2
"31508400",2022-01-11,129410.30558910916,0.0
"31540001",2022-01-11,38921.48567484515,0.0
"31573001",2022-01-11,27898.19083202244,0.3
"31579001",2022-01-11,16765.129718687844,0.4
"09023002",2022-01-11,112101.95870197506,0.0
"09023400",2022-01-11,114757.8961005521,0.0
"09024004",2022-01-11,103153.72784686994,0.0
"09027001",2022-01-11,93307.81016153237,0.8
"09047001",2022-01-11,97695.51508552399,0.2
"09070400",2022-01-11,103160.34869622832,0.0
"09094001",2022-01-11,66347.44043262622,0.2
"09099001",2022-01-11,73039.08540352262,0.0
"09161003",2022-01-11,88914.98863167671,0.0
"09181003",2022-01-11,59896.383285521966,0.2
"09199002",2022-01-11,53006.86586119594,0.0
"09206400",2022-01-11,92737.4275010327,0.0
"09225005",2022-01-11,58657.78434582506,0.0
"09289001",2022-01-11,75289.06425933287,0.0
"09290400",2022-01-11,101162.18755259339,0.0
"09301001",2022-01-11,79748.82705109587,0.0
"09328001",2022-01-11,95986.73644787655,0.2
"31011001",2022-01-12,88230.05793734276,0.2
"31035001",2022-01-12,13506.466191476335,0.5
"31042012",2022-01-12,127415.575235681,0.0
"31042400",2022-01-12,131726.36499692578,0.0
"31069001",2022-01-12,3989.958472208172,0.0
"31070004",2022-01-12,94082.76170034448,0.2
"31085400",2022-01-12,105612.62249788013,0.0
"31147001",2022-01-12,104677.61912633706,0.2
"31157001",2022-01-12,8889.910174703222,0.0
"31221400",2022-01-12,138484.17911641818,0.0
"31271001",2022-01-12,26294.705652534667,0.0
"31299001",2022-01-12,24283.571611676947,0.2
"31374001",2022-01-12,32784.54095664272,0.2
"31403002",2022-01-12,21348.878695501193,0.2
"31404001",2022-01-12,135698.07250657384,0.0
"31406002",2022-01-12,60826.72040692892,0.2
"31451001",2022-01-12,70026.49359357842,0.0
"31454001",2022-01-12,39725.34164614296,0.0
"31478001",2022-01-12,55317.46889621733,0.0
"31508400",2022-01-12,129410.30558910916,0.0
"31540001",2022-01-12,38921.48567484515,0.4
"31573001",2022-01-12,27898.19083202244,0.2
"31579001",2022-01-12,16765.129718687844,0.3
"09023002",2022-01-12,112101.95870197506,0.0
"09023400",2022-01-12,114757.8961005521,0.0
"09024004",2022-01-12,103153.72784686994,0.0
"09027001",2022-01-12,93307.81016153237,0.2
"09047001",2022-01-12,97695.51508552399,0.2
"09070400",2022-01-12,103160.34869622832,0.0
"09094001",2022-01-12,66347.44043262622,0.2
"09099001",2022-01-12,73039.08540352262,0.0
"09161003",2022-01-12,88914.98863167671,0.0
"09181003",2022-01-12,59896.383285521966,0.0
"09199002",2022-01-12,53006.86586119594,0.2
"09206400",2022-01-12,92737.4275010327,0.0
"09225005",2022-01-12,58657.78434582506,0.0
"09289001",2022-01-12,75289.06425933287,0.0
"09290400",2022-01-12,101162.18755259339,0.0
"09301001",2022-01-12,79748.82705109587,0.0
"09328001",2022-01-12,95986.73644787655,0.2
"31011001",2022-01-13,88230.05793734276,0.4
"31035001",2022-01-13,13506.466191476335,0.0
"31042012",2022-01-13,127415.575235681,0.0
"31042400",2022-01-13,131726.36499692578,0.0
"31069001",2022-01-13,3989.958472208172,0.0
"31070004",2022-01-13,94082.76170034448,0.2
"31085400",2022-01-13,105612.62249788013,0.0
"31147001",2022-01-13,104677.61912633706,0.2
"31157001",2022-01-13,8889.910174703222,0.2
"31221400",2022-01-13,138484.17911641818,0.0
"31271001",2022-01-13,26294.705652534667,0.3
"31299001",2022-01-13,24283.571611676947,0.2
"31374001",2022-01-13,32784.54095664272,0.2
"31403002",2022-01-13,21348.878695501193,0.2
"31404001",2022-01-13,135698.07250657384,0.0
"31406002",2022-01-13,60826.72040692892,0.2
"31451001",2022-01-13,70026.49359357842,0.0
"31454001",2022-01-13,39725.34164614296,0.2
"31478001",2022-01-13,55317.46889621733,0.2
"31508400",2022-01-13,129410.30558910916,0.0
"31540001",2022-01-13,38921.48567484515,0.2
"31573001",2022-01-13,27898.19083202244,0.4
"31579001",2022-01-13,16765.129718687844,0.2
"09023002",2022-01-13,112101.95870197506,0.0
"09023400",2022-01-13,114757.8961005521,0.0
"09024004",2022-01-13,103153.72784686994,0.0
"09027001",2022-01-13,93307.81016153237,0.0
"09047001",2022-01-13,97695.51508552399,0.2
"09070400",2022-01-13,103160.34869622832,0.0
"09094001",2022-01-13,66347.44043262622,0.0
"09099001",2022-01-13,73039.08540352262,0.2
"09161003",2022-01-13,88914.98863167671,0.2
"09181003",2022-01-13,59896.383285521966,0.2
"09193400",2022-01-13,118931.31681070912,0.0
"09199002",2022-01-13,53006.86586119594,0.2
"09206400",2022-01-13,92737.4275010327,0.0
"09225005",2022-01-13,58657.78434582506,0.0
"09289001",2022-01-13,75289.06425933287,0.0
"09290400",2022-01-13,101162.18755259339,0.0
"09301001",2022-01-13,79748.82705109587,0.2
"09328001",2022-01-13,95986.73644787655,0.2
